# 8W8 golden render — generated by tools/golden_check --write
# lane vel hash peak rms centroid length
bd 64 17551659352920104773 0.221738800 0.022737966 62.262 0.948594
bd 110 9498113183734836681 0.413904369 0.043374675 64.552 1.018844
sd 64 4217361335725202376 0.331492573 0.012387913 233.625 0.621088
sd 110 13712563490763255389 0.587429047 0.022486466 228.763 0.666100
lt 64 2953251326812290384 0.145603597 0.013697093 97.759 0.726553
lt 110 2398694842938586813 0.281633079 0.026348056 97.714 0.785692
mt 64 3053560375336616246 0.165576950 0.011438832 142.157 0.518685
mt 110 14250240292814605550 0.316233039 0.021844595 142.017 0.559342
ht 64 3262782817757272794 0.158906743 0.011593725 205.581 0.484331
ht 110 14369833782382889674 0.298824072 0.021714599 205.313 0.520385
lc 64 3256784411371909097 0.139463574 0.010548622 207.738 0.542426
lc 110 13120020353761388078 0.260045499 0.019653957 207.658 0.583651
mc 64 15695008781376019590 0.155041844 0.008694511 304.498 0.298866
mc 110 806434227305253106 0.279599339 0.015659647 304.282 0.320385
hc 64 10406174225240825240 0.157007918 0.008580821 406.006 0.283560
hc 110 10548024578606790795 0.275553793 0.014999877 405.616 0.302132
rs 64 5577717764211659802 0.418613732 0.006377798 754.620 0.033741
rs 110 7554059988656346601 0.833931267 0.012705377 754.620 0.035488
cl 64 7533622810717135804 0.224671677 0.005688049 2466.740 0.055079
cl 110 17224721758466360566 0.372713983 0.009583189 2465.741 0.058254
ma 64 2999071558282509803 0.174306810 0.004042766 9028.204 0.068005
ma 110 9711590806698805426 0.318418771 0.007385211 9028.202 0.072540
cp 64 5705309150644206338 0.385334343 0.012766063 1285.281 1.487664
cp 110 18268155733554316297 0.767634571 0.025431606 1285.281 1.487732
cb 64 1203173844500045248 0.391192198 0.006830050 789.468 1.040794
cb 110 7168165090903328518 1.069971204 0.015043511 752.272 1.117029
ch 64 3899667083565021003 0.221931487 0.004342270 9427.290 0.078481
ch 110 15875186695454839912 0.442115486 0.008650349 9427.290 0.079773
oh 64 15686025336447616384 0.245206133 0.015722481 6350.328 0.416576
oh 110 3090317974093082336 0.488481492 0.031321164 6350.328 0.418027
cy 64 9961504796788812818 0.203577831 0.009741746 8716.769 1.783379
cy 110 14065651829840390567 0.405552655 0.019406785 8716.769 1.786735
